티커,종목명,현재가,등락률(%),거래량비율,MA5,MA20,MA60,정배열,눌림목,장대양봉,망치형,전고돌파,PER,PBR,ROE(%),배당률(%),BPS,스윙점수,시그널,1차목표가,손절가
090430,아모레퍼시픽,161000,1.0,0.68,162540,140220,128891,True,False,False,False,False,18.72,2.11,11.27,0.7,76149,35,외국인_순매수 | 정배열 | 배당0.7%,172270,140220
023450,동남합성,31200,-0.32,0.97,31350,31955,32102,False,False,False,False,False,16.14,2.01,12.45,2.88,15520,35,외+기관_동시매수 | 배당2.9%,33700,29640
005385,현대차우,261000,-0.38,0.31,257800,268175,229088,False,False,False,False,False,0.0,0.0,0.0,4.62,0,35,외+기관_동시매수 | 배당4.6%,318500,247950
000150,두산,942000,-3.19,0.86,919200,885950,849416,True,False,False,False,False,0.0,11.33,0.0,0.21,83153,35,기관_순매수 | 정배열 | 배당0.2%,1007940,885950
002840,미원상사,151600,-2.82,1.43,150180,143385,147920,False,False,False,False,False,14.05,1.76,12.53,1.32,86039,35,외+기관_동시매수 | 배당1.3%,162212,143385
002960,한국쉘석유,456000,-0.87,0.94,452100,439525,450033,False,False,False,False,False,16.17,4.66,28.82,5.92,97904,35,외+기관_동시매수 | 배당5.9%,487920,433200
012200,계양전기,7460,-2.74,0.27,7900,8640,5903,False,False,False,False,False,0.0,3.8,0.0,0.0,1962,30,외+기관_동시매수,11980,7087
000155,두산우,512000,2.81,1.28,489800,490775,505208,False,False,False,False,True,0.0,0.0,0.0,0.4,0,30,외국인_순매수 | 전고돌파 | 배당0.4%,547840,486400
001210,금호전기,842,-3.77,0.36,875,995,775,False,False,False,False,False,0.0,2.08,0.0,0.0,405,30,외+기관_동시매수,1300,799
021240,코웨이,89600,1.93,1.13,86720,81500,84333,False,False,False,False,True,11.43,2.01,17.59,2.94,44478,30,기관_순매수 | 전고돌파 | 배당2.9%,95872,81500
004410,서울식품,144,-2.7,1.25,147,145,148,False,False,False,False,False,0.0,2.36,0.0,0.0,61,30,외+기관_동시매수,160,136
329180,HD현대중공업,543000,0.74,1.16,538600,579900,561116,False,False,False,False,False,77.56,8.45,10.89,0.38,64259,20,기관_순매수 | 배당0.4%,652000,515850
066970,엘앤에프,113100,-4.72,0.46,117460,120760,117391,False,False,False,False,False,0.0,5.32,0.0,0.0,21264,15,외국인_순매수,140900,107445
010140,삼성중공업,27700,-1.6,0.75,27930,29197,26858,False,False,False,False,False,369.33,6.23,1.69,0.0,4443,15,외국인_순매수,32000,26315
